Food Name,Calories,Carbohydrates (g),Sugars (g),Fat (g),Protein (g),Fiber (g),Vitamin_A_µg,Vitamin_B_complex_mg,Vitamin_C_mg,Vitamin_D_µg,Vitamin_E_mg,Vitamin_K_µg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg,Sodium_mg,Category,Cuisine,Meal_Type
"Sierra Nevada Pale Ale , 12 oz",72.0,5.6,0.0,0.0,0.0,0.0,9.5,0.02,1.6,0.03,0.43,0.68,5.1,1.07,224.5,2.2,1.08,200,Dinner,Pakistani,Lunch
"Mango Chicken Curry, 0.3 plate",38.4,2.0,0.0,1.6,3.6,0.0,0.0,0.18,0.0,0.03,0.56,1.36,20.9,1.04,23.6,2.8,0.88,40,Dinner,Pakistani,Lunch
"Homemade Chapati, 6 piece",172.8,40.8,0.0,12.0,7.2,0.0,0.9,0.16,0.4,0.07,0.18,16.26,21.9,0.96,171.4,5.9,0.01,372,Breakfast,Pakistani,Breakfast
"Asda Plain Naan, 0.5 naan",60.8,8.4,0.0,2.4,1.2,0.0,36.6,0.21,7.0,0.22,0.07,2.53,21.4,1.1,276.9,1.3,0.73,331,Breakfast,Pakistani,Breakfast
"Food Rajmah, 100 G",40.8,4.4,0.0,1.2,2.0,0.0,38.0,0.08,10.7,0.11,0.37,1.12,63.1,0.35,117.4,23.5,0.28,43,Dinner,Pakistani,Lunch
"Chicken Korma, 1/2 tray",264.0,17.6,0.0,5.6,4.0,0.0,12.1,0.59,5.7,0.01,0.23,7.03,1.7,4.18,201.5,18.9,0.15,455,Dinner,Global,Dinner
"Sitar Cuisine Chicken Tikka Masala, 4 oz.",62.0,2.4,0.0,3.6,3.2,0.0,65.0,0.1,3.5,0.05,0.27,4.73,0.8,2.26,272.4,11.9,1.18,443,Lunch,Pakistani,Lunch
"Motichoor Ladoo Sweets, 120 gms",228.0,26.4,0.0,0.0,0.0,0.0,3.5,0.07,3.0,0.06,0.23,6.74,15.3,0.93,84.8,13.6,0.78,36,Dinner,Pakistani,Lunch
"Cheese Naan Bread, 0.33 naan",44.4,6.4,0.0,1.2,2.0,0.0,0.0,0.38,1.6,0.01,0.15,12.42,2.7,0.97,278.1,11.4,0.84,470,Breakfast,Pakistani,Breakfast
"Plain Nan, 0.5 nan",46.0,0.0,0.0,0.8,1.2,0.0,29.3,0.06,1.9,0.01,1.32,6.63,5.7,0.24,164.8,13.1,0.83,320,Dinner,Pakistani,Lunch
"Brach's Corn Candy (21 oz Bag), 1 pieces (39g)",2.8,0.8,0.0,0.0,0.0,0.0,51.0,0.16,7.9,0.04,0.28,1.53,9.2,0.15,136.1,16.1,0.24,217,Dinner,Pakistani,Lunch
"Life Mattar Paneer, 51.3 g",28.4,4.0,0.0,0.8,0.8,0.0,14.0,0.09,8.9,0.17,0.79,3.45,5.9,0.67,108.0,7.1,0.07,213,Lunch,Pakistani,Lunch
"South Prawn Curry, 4.5 oz (85g)",50.4,0.0,0.0,0.4,10.8,0.0,30.0,0.42,4.3,0.09,0.16,10.7,4.3,1.45,90.2,24.5,0.62,160,Dinner,Pakistani,Dinner
"Vh Market Butter Chicken, 28 ml",16.0,2.0,0.0,0.8,0.4,0.0,0.0,0.57,3.3,0.05,0.23,13.3,27.9,1.1,79.4,18.7,0.76,119,Dinner,Pakistani,Dinner
"Basmati Rice Cooked, 1 cup cooked",48.0,10.0,0.0,0.0,1.6,0.0,0.0,0.23,0.2,0.17,0.0,12.57,2.1,1.4,284.8,3.5,0.52,632,Lunch,Pakistani,Lunch
"Homemade Paneer Cheese, 0.5 oz",18.0,0.0,0.0,0.0,0.0,0.0,33.7,0.21,6.5,0.16,0.8,2.67,60.2,0.31,64.5,19.0,0.06,36,Dinner,Pakistani,Lunch
"Amy's Mattar Paneer, 1 entree 10oz.",148.0,21.6,0.0,4.4,5.2,0.0,0.0,0.33,4.3,0.01,0.05,6.2,59.8,0.37,172.4,16.5,0.75,225,Dinner,Pakistani,Lunch
"Food Lamb Madras Curry, 1 container (3 cups ea.)",324.0,15.6,0.0,16.8,27.6,0.0,20.3,0.56,0.4,0.13,0.04,2.6,52.9,1.21,20.7,7.4,0.9,241,Lunch,Pakistani,Lunch
"Mutton Karahi, 480 g",212.8,8.0,0.0,9.2,24.4,0.0,31.1,0.4,2.1,0.3,0.61,0.93,5.4,0.18,146.8,8.1,1.07,439,Dinner,Pakistani,Lunch
"Mango Pickle, 5 g",2.8,0.4,0.0,0.4,0.0,0.0,0.0,0.45,0.8,0.16,0.44,2.02,2.6,0.52,135.2,20.3,0.05,180,Lunch,Pakistani,Lunch
"Homemade Chapati, 7 piece",201.6,47.6,0.0,14.0,8.4,0.0,1.0,0.48,10.4,0.15,0.75,4.0,38.1,0.16,21.5,16.7,0.02,11,Breakfast,Pakistani,Breakfast
"Homemade Channa Dal, 0.5 katori",29.2,2.8,0.0,1.6,1.2,0.0,14.2,0.36,5.3,0.01,0.16,3.61,9.7,0.17,151.2,20.6,0.07,412,Dinner,Global,Lunch
"Generic Food Aloo Mutter, 9 oz",94.4,15.6,0.0,2.4,2.4,0.0,0.0,0.16,2.7,0.13,0.14,18.2,33.4,0.13,122.5,31.8,0.1,299,Lunch,Pakistani,Lunch
"Veg Masala Vegetables Spicy, 200 g",100.0,0.0,0.0,17.6,0.0,0.0,78.0,0.12,7.6,0.27,0.23,9.35,0.2,0.62,105.9,18.4,0.88,203,Dinner,Pakistani,Lunch
"Sweet Barfi (Khoya) Plain, 33 g",37.6,5.2,0.0,1.6,0.8,0.0,35.4,0.1,1.1,0.03,0.67,10.62,31.9,0.26,185.9,12.1,0.93,391,Lunch,Pakistani,Lunch
Peach Juice,61.6,16.0,0.0,0.4,0.4,0.0,14.3,0.03,3.3,0.16,0.34,2.19,1.0,0.46,159.4,9.6,0.05,212,Dinner,Pakistani,Lunch
"Twinings -Spiced Chai Tea, 1 cup",0.0,0.0,0.0,0.0,0.0,0.0,50.3,0.15,10.9,0.19,0.09,9.61,13.7,1.52,80.8,19.3,0.88,103,Breakfast,Pakistani,Breakfast
"Sainsbury's Bombay Potato, 25 g",9.6,0.8,0.0,0.4,0.0,0.0,14.6,0.06,0.2,0.04,0.58,9.16,3.0,1.63,178.1,6.1,1.08,132,Lunch,Pakistani,Lunch
"Food Paneer Cheese Cheese, 3.2 oz",102.4,1.2,0.0,6.4,8.8,0.0,0.0,0.04,4.5,0.05,0.53,18.76,44.5,0.39,119.7,16.0,0.79,106,Dinner,Pakistani,Lunch
"Food Chole (Curried Chickpeas), 0.25 Cup",20.4,2.4,0.0,0.8,0.8,0.0,4.3,0.23,2.0,0.12,0.44,13.58,18.9,0.3,266.3,5.2,0.32,139,Dinner,Global,Lunch
"Generic Nonfat Yogurt Plain, 1 Cup",56.0,7.6,0.0,0.0,5.2,0.0,52.0,0.29,2.0,0.33,0.24,4.27,65.3,0.22,253.0,5.0,0.97,250,Lunch,Pakistani,Lunch
"Homemade Sambar, 0.25 cup (cooked)",30.8,5.6,0.0,0.8,1.6,0.0,0.0,0.46,5.0,0.05,0.2,6.54,15.8,0.47,131.7,16.7,0.67,384,Dinner,Pakistani,Lunch
"Homemade Masoor Dal (Lentils), 0.5 cup",80.0,11.2,0.0,1.6,4.4,0.0,0.0,0.32,3.7,0.02,0.7,0.26,15.2,0.59,123.9,21.1,0.85,236,Dinner,Pakistani,Lunch
"Flik Spiced Coconut Sauce, 1/6 cup",41.6,0.8,0.0,4.4,0.4,0.0,5.8,0.31,0.2,0.14,0.98,6.8,26.6,1.44,120.9,6.3,0.5,334,Lunch,Pakistani,Lunch
"Food Standard One Plate Buffet, 0.75 dinner plate",0.0,18.0,0.0,9.2,3.2,0.0,0.0,0.31,7.1,0.05,1.0,10.07,6.1,0.53,165.3,19.7,0.53,385,Breakfast,Pakistani,Breakfast
"Besan Burfi ( Sweet), 0.25 Piece (1pc = 62 g or 4 Tbsp)",28.8,3.2,0.0,2.0,0.8,0.0,8.8,0.03,1.4,0.0,0.34,18.54,2.2,0.22,111.3,20.3,0.18,438,Dinner,Pakistani,Lunch
"Aalu Shaljam (Potato Turnip Curry), 0.4 cup",35.6,3.6,0.0,2.4,0.4,0.0,0.0,0.34,1.1,0.07,0.25,1.69,2.8,0.52,126.4,0.3,1.49,15,Lunch,Pakistani,Lunch
"365 Basmati Brown Rice, 0.0625 cup (dry)",17.2,3.6,0.0,0.0,0.4,0.0,0.0,0.22,2.9,0.18,0.4,0.0,8.7,1.8,194.3,10.0,0.42,241,Dinner,Pakistani,Lunch
"(Aashirwad Atta) Roti/Chapati, 1/2 cup kneaded with water",88.0,18.4,0.0,0.4,3.2,0.0,35.0,0.16,0.6,0.2,0.67,2.22,25.7,0.88,175.8,10.0,0.5,157,Breakfast,Global,Breakfast
"Sodexo Chicken Curry, 0.2 cup",24.8,1.2,0.0,1.6,1.6,0.0,5.6,0.48,0.2,0.15,0.2,9.09,15.0,0.88,120.6,17.1,0.63,10,Dinner,Pakistani,Dinner
"Aloo Gajar Matar Sabzi (Potato, Carrot, Peas Curry), 0.8 serving",82.4,10.4,0.0,5.2,2.0,0.0,24.1,0.19,2.1,0.02,0.34,16.09,9.0,0.14,121.5,7.4,0.46,360,Dinner,Pakistani,Dinner
"Homemade Channa Dal, 0.68 katori",39.6,3.6,0.0,2.0,1.2,0.0,0.0,0.2,6.1,0.07,0.34,12.92,3.5,0.42,250.8,10.4,0.11,119,Dinner,Pakistani,Lunch
"salad, 1 serving",18.0,2.0,0.0,0.8,0.4,0.0,0.0,0.39,10.5,0.12,0.11,7.47,37.3,1.9,199.1,12.5,0.12,243,Dinner,Pakistani,Lunch
"Summer Stew, 0.25 serving(s)",13.6,2.8,0.0,0.4,0.4,0.0,50.6,0.18,12.5,0.13,0.41,6.49,32.7,0.44,3.4,10.7,0.41,387,Dinner,Pakistani,Lunch
"Pilau Rice (300g), 0.1 container (1 pack ea.)",18.8,3.6,0.0,0.4,0.4,0.0,14.6,0.06,1.1,0.09,0.71,13.17,15.2,1.89,100.8,19.4,0.6,363,Lunch,Pakistani,Lunch
"Homemade Channa Dal, 2 katori",116.0,10.4,0.0,5.6,4.0,0.0,10.6,0.11,0.7,0.08,1.09,5.53,30.6,1.53,42.8,10.7,1.37,208,Lunch,Pakistani,Lunch
"Soup Chicken Vegetable, 1 bowl",60.0,2.4,0.0,3.2,3.2,0.0,0.0,0.26,2.7,0.08,0.18,9.67,3.1,0.52,214.8,26.5,0.96,349,Dinner,Pakistani,Dinner
Kaari Chawal Recipe,348.4,28.4,0.0,22.8,8.8,0.0,16.3,0.07,4.9,0.12,0.47,11.75,7.6,1.35,64.3,4.5,0.61,402,Lunch,Pakistani,Lunch
"Pilau Rice, 45 g",24.4,2.8,0.0,0.4,0.4,0.0,19.3,0.23,3.6,0.07,0.16,2.3,15.3,1.14,102.8,16.5,0.34,493,Dinner,Global,Lunch
"Whole Wheat Roti, 3 piece",60.0,13.2,0.0,0.8,3.6,0.0,20.6,0.16,2.5,0.09,0.3,7.3,24.9,0.18,135.0,22.3,0.36,531,Dinner,Pakistani,Lunch
"Tandoori Chicken Tikka, 3 pieces (90g)",44.8,2.0,0.0,0.8,7.6,0.0,0.0,0.39,9.2,0.09,0.15,17.01,20.6,0.48,24.2,25.4,0.15,78,Dinner,Pakistani,Lunch
"Sharwoods Spicy Puppadums, 4 puppadums",32.0,5.2,0.0,0.0,2.4,0.0,48.2,0.01,5.6,0.06,0.37,5.15,52.0,0.79,188.8,3.2,0.74,148,Dinner,Pakistani,Lunch
"Souplantation Grain Bread, 0.5 slice",40.0,7.2,0.0,0.4,2.4,0.0,0.0,0.21,1.9,0.13,0.52,18.38,24.2,1.02,232.0,7.0,0.2,250,Lunch,Pakistani,Lunch
"Innocent Lentil Sambar, 300 g",103.2,12.8,0.0,3.6,3.2,0.0,53.7,0.63,2.3,0.11,0.03,10.33,15.4,1.43,56.7,0.4,0.99,492,Lunch,Pakistani,Lunch
"Morrisons Kithen North Paneer and Veg Curry, 100 g",50.4,6.0,0.0,2.0,1.2,0.0,38.5,0.11,0.0,0.01,0.57,10.79,27.5,0.05,157.9,10.3,0.19,188,Dinner,Pakistani,Dinner
"Rice Basmati Rice, 125 gram",205.2,45.2,0.0,0.4,4.4,0.0,0.0,0.32,1.3,0.09,1.32,2.02,5.6,0.73,258.4,1.4,0.51,533,Lunch,Pakistani,Lunch
"Kadai Paneer, 0.5 cup",20.8,2.0,0.0,1.2,0.4,0.0,0.0,0.24,8.7,0.02,0.61,12.85,6.1,0.21,235.0,12.6,0.52,261,Dinner,Pakistani,Lunch
"Nan ( Flat Bread), 1/4 baked",54.8,7.6,0.0,2.0,1.6,0.0,30.6,0.03,11.9,0.03,0.24,7.0,17.0,0.86,138.2,3.3,1.05,354,Lunch,Pakistani,Lunch
"Homemade Idly South , 4 idly",62.4,12.8,0.0,0.0,3.2,0.0,22.5,0.24,7.6,0.17,0.3,13.68,59.5,1.04,71.3,15.3,0.2,378,Lunch,Pakistani,Lunch
"Homemade Paneer Cheese, 0.67 oz",24.0,0.0,0.0,0.0,0.0,0.0,17.3,0.41,2.5,0.11,0.19,1.18,32.1,0.45,14.9,5.9,0.5,182,Lunch,Pakistani,Lunch
"Souplantation Grain Bread, 1 slice",80.0,14.0,0.0,0.8,4.4,0.0,0.0,0.1,0.5,0.05,0.4,0.31,10.7,0.52,327.8,3.0,0.19,297,Dinner,Pakistani,Lunch
"Yoghurt Mint Sauce, 50 ml",28.0,1.6,0.0,1.6,1.6,0.0,0.0,0.25,2.3,0.02,0.32,12.05,14.4,0.59,205.5,19.7,1.03,10,Lunch,Pakistani,Lunch
"Generic Basmati Rice Cooked, 0.75 cup cooked",61.6,13.2,0.0,0.0,1.2,0.0,0.0,0.25,7.3,0.03,0.42,10.21,11.8,0.49,144.1,5.6,0.05,199,Dinner,Pakistani,Lunch
White Chicken Korma,106.8,3.2,0.0,8.0,5.6,0.0,0.0,0.33,2.2,0.11,0.02,12.73,31.4,0.6,86.7,8.9,0.44,59,Dinner,Pakistani,Dinner
"Store Jalebi, 1.0 pieces",47.2,8.4,0.0,1.6,0.4,0.0,0.0,0.03,4.1,0.05,0.05,7.61,54.4,0.07,140.1,8.1,0.41,288,Dinner,Pakistani,Lunch
"Coconut Chutney, 2 tbsp",56.0,0.8,0.0,4.0,0.0,0.0,45.7,0.55,5.3,0.05,1.31,12.85,0.4,0.1,196.5,3.9,0.84,270,Lunch,Pakistani,Lunch
"Sainsburys Pilau Rice, 200 g",134.4,28.4,0.0,1.6,2.8,0.0,0.0,0.49,0.8,0.01,0.16,3.43,10.8,0.15,70.6,18.8,0.05,10,Dinner,Pakistani,Lunch
"Tesco tikka masala pilau rice and Bombay potato, 1 box",273.2,27.2,0.0,10.8,15.2,0.0,50.8,0.2,4.5,0.1,0.23,0.75,41.1,0.72,291.9,17.0,0.15,145,Lunch,Pakistani,Lunch
"Iceland Platter Onion Bhaji, 3 bhaji",33.6,3.2,0.0,1.6,1.2,0.0,0.0,0.04,3.6,0.04,0.35,20.4,37.8,0.62,7.3,8.0,0.68,44,Lunch,Pakistani,Lunch
"Whole Foods 365 Organic Basmati White Rice, 1/4 cup Dry",72.0,16.0,0.0,0.4,1.6,0.0,11.5,0.07,4.5,0.07,1.28,14.67,39.6,0.51,136.4,29.7,0.64,69,Dinner,Pakistani,Lunch
"Fruit Mango Puree, 0.1 cup puree",4.4,1.2,0.0,0.0,0.0,0.0,0.0,0.51,3.6,0.12,0.45,8.11,35.2,0.16,240.9,14.1,0.08,372,Dinner,Pakistani,Lunch
"Lipton Chae (Tea), 0.25 cup",14.8,2.4,0.0,0.4,0.8,0.0,71.0,0.36,5.4,0.03,0.51,3.67,28.0,0.05,130.2,5.5,0.46,369,Dinner,Pakistani,Lunch
"Pure Foods Grass-Fed Ghee, 0.25 tablespoon",12.0,0.0,0.0,1.6,0.0,0.0,20.0,0.27,0.6,0.08,0.44,8.85,58.3,0.79,125.1,4.7,0.57,320,Dinner,Pakistani,Lunch
"Pc Naan Garlic Flatbread, 1 Piece",152.0,24.0,0.0,4.0,4.8,0.0,1.2,0.33,6.6,0.14,0.26,8.9,0.3,1.08,315.9,9.3,0.58,136,Breakfast,Pakistani,Breakfast
"Ashirwaad Multigrain Atta Roti, 70 gm",102.4,20.4,0.0,0.4,4.0,0.0,0.0,0.47,9.2,0.02,0.39,7.34,49.4,0.76,42.8,7.3,0.09,213,Lunch,Pakistani,Lunch
"Woolworths Vegetable Dhal, 200 gms",64.8,7.6,0.0,2.4,2.0,0.0,0.0,0.19,0.4,0.14,0.38,7.4,23.6,0.15,216.9,18.4,0.77,409,Lunch,Pakistani,Lunch
"Sainsburys Banquet for 2, 1/2 of a meal",0.0,64.8,0.0,19.6,24.0,0.0,21.3,0.16,2.0,0.05,0.06,17.82,22.4,0.68,151.1,35.8,0.05,93,Lunch,Pakistani,Lunch
"Chicken Shashlik, 300 g",96.0,4.8,0.0,1.2,14.4,0.0,0.0,0.35,3.7,0.12,0.38,15.82,4.3,0.28,84.9,31.9,0.24,171,Dinner,Pakistani,Dinner
"Fresh Vegetables Brinjal Aubergine ( Eggplant), 100 grams",9.6,2.4,0.0,0.0,0.4,0.0,98.7,0.3,7.9,0.13,0.6,6.02,27.8,0.23,90.9,5.8,0.26,374,Breakfast,Pakistani,Breakfast
Aloo Tikki Recipe,45.2,8.8,0.0,0.8,1.2,0.0,0.0,0.16,3.6,0.05,0.46,6.42,43.1,0.54,83.4,13.2,0.42,256,Dinner,Pakistani,Lunch
"Mirch Masala Buffet, 2 dinner plate + rice + naan",0.0,24.0,0.0,12.0,12.0,0.0,0.0,0.23,2.9,0.11,0.33,11.51,51.2,1.62,19.3,14.7,0.16,240,Breakfast,Pakistani,Breakfast
"Tea, 96 ml",11.2,1.2,0.0,0.4,0.4,0.0,32.5,0.26,0.3,0.07,0.88,1.05,7.2,0.7,161.0,14.0,0.14,373,Dinner,Pakistani,Lunch
Egg Halwa,110.0,9.2,0.0,8.4,0.4,0.0,9.5,0.13,3.2,0.17,0.37,6.39,19.3,0.72,189.7,12.4,0.59,327,Breakfast,Pakistani,Breakfast
"Restaraunt Vegetable Dansak, 1 dish",120.0,14.0,0.0,2.0,3.2,0.0,32.5,0.17,0.4,0.1,0.24,5.45,14.6,0.68,122.5,12.5,0.5,130,Lunch,Pakistani,Lunch
"Hansells All Natural Dahl Hearty Soup Mix, 250 ml",69.2,12.0,0.0,0.4,5.2,0.0,1.8,0.23,0.6,0.05,0.02,8.18,26.8,0.12,133.1,15.3,0.17,39,Lunch,Pakistani,Lunch
"Valley Meats Moose Polish Sausage, 6 Ounce",91.2,0.0,0.0,0.0,19.2,0.0,28.7,0.59,5.9,0.02,0.17,6.83,37.0,1.05,78.8,3.7,0.13,367,Dinner,Global,Lunch
"Trader Joe's Fare Punjab Choley, 1 Package",168.0,21.6,0.0,6.4,5.6,0.0,0.0,0.09,6.8,0.05,0.65,2.36,9.1,1.17,178.6,18.4,0.28,312,Lunch,Global,Lunch
"Tesco Chicken Tikka Masala, 50 g",28.4,0.8,0.0,1.6,2.8,0.0,31.2,0.25,1.8,0.05,0.45,1.21,31.9,2.36,216.1,1.7,0.26,184,Dinner,Pakistani,Dinner
"Tesco Big Night In Saag Aloo, 0.35 pack",46.0,4.0,0.0,2.8,0.8,0.0,0.0,0.28,3.5,0.06,0.13,24.16,4.0,2.03,121.0,9.5,0.41,273,Dinner,Pakistani,Lunch
"Aldi Tasty Chicken Korma and Rice, 1 meal",261.2,29.2,0.0,9.6,12.8,0.0,0.0,0.59,7.0,0.04,0.0,3.57,11.6,0.56,220.4,27.7,0.48,93,Dinner,Pakistani,Dinner
"(Uk) Peshwari Naan, 0.3 Portion",79.6,12.0,0.0,2.4,2.4,0.0,0.0,0.04,12.5,0.08,0.22,9.67,14.5,0.28,55.8,25.2,0.3,10,Breakfast,Pakistani,Breakfast
"Amy's Palak Paneer Creamed Spinach & Cheese W/Rice & Rajmah Dal, 1 Box",120.0,15.2,0.0,4.4,4.8,0.0,0.0,0.14,4.6,0.09,1.1,7.03,31.2,0.04,3.4,19.1,0.59,262,Dinner,Pakistani,Lunch
"Cottage Peshwari Naan, 0.5 Naan",160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,7.8,0.21,0.6,1.79,21.7,0.61,37.9,12.2,0.13,201,Breakfast,Pakistani,Breakfast
"Chicken Kali Mirch, 537 g",128.0,3.6,0.0,4.8,17.2,0.0,0.0,0.19,2.2,0.04,0.72,8.03,77.1,1.55,136.3,17.4,0.32,50,Dinner,Pakistani,Dinner
"John West Tempters Mild Curry Tuna, 86 g",42.4,1.2,0.0,2.0,4.8,0.0,2.8,0.25,8.2,0.13,0.53,3.94,10.8,1.49,202.5,22.5,0.05,102,Dinner,Pakistani,Dinner
"Cheese Naan Bread, 0.5 naan",66.4,10.0,0.0,2.0,3.2,0.0,0.0,0.31,0.7,0.23,0.35,3.1,5.8,1.87,148.7,8.7,0.08,208,Breakfast,Global,Breakfast
"Sweta- Tea drink, 1 cup",90.4,5.6,0.0,1.6,2.8,0.0,0.0,0.17,5.1,0.08,0.16,8.1,7.2,0.58,172.1,15.7,0.13,399,Lunch,Pakistani,Lunch
"Palak Chicken Chicken & Spinach Curry, 0.75 serving",83.2,2.8,0.0,2.8,9.2,0.0,55.9,0.42,7.6,0.07,0.6,3.64,15.2,0.84,140.5,16.7,0.35,105,Dinner,Pakistani,Dinner
"Kheer Rice Pudding, 2 oz.",26.8,8.8,0.0,1.6,1.2,0.0,53.8,0.15,3.2,0.11,0.5,12.59,35.6,0.84,69.2,6.0,0.27,25,Lunch,Pakistani,Lunch
"Forres - Iceland Chicken Platter (50 Piece) -- Tandoori Chicken Pieces, 30 g",18.0,1.2,0.0,0.4,2.4,0.0,23.6,0.16,1.0,0.13,1.08,4.2,12.9,1.84,23.0,3.9,0.3,10,Dinner,Pakistani,Lunch
"Cooked Peas Yellow Split Peas (Toor) Dal, 0.33 cup",26.8,4.0,0.0,0.8,1.6,0.0,0.0,0.46,9.2,0.04,0.03,24.1,33.0,0.81,229.1,14.4,0.2,232,Lunch,Pakistani,Lunch
"Generic Buffet Vegetarian, No Dessert, 1 large plate",360.0,80.0,0.0,8.0,8.0,0.0,1.4,0.48,0.6,0.2,0.91,0.84,0.8,0.37,333.2,27.0,0.45,128,Dinner,Pakistani,Lunch
"Tesco Plain Naan (Chilled), 160 g",176.0,26.8,0.0,4.8,4.8,0.0,0.0,0.22,8.6,0.13,0.61,15.25,1.0,1.96,64.8,15.5,0.28,173,Breakfast,Global,Breakfast
"Asda Mango Chutney, 70 gms",57.6,14.4,0.0,0.0,0.0,0.0,35.5,0.19,0.8,0.09,0.41,0.67,61.7,0.65,57.4,6.2,0.68,61,Dinner,Pakistani,Lunch
"West Rice, Peas & Curry Mutton, 1 portion",160.0,0.0,0.0,5.6,0.0,0.0,23.9,0.28,5.9,0.01,0.01,9.6,18.6,1.11,85.3,19.4,0.5,348,Lunch,Pakistani,Lunch
"Mushroom Rice, 0.75 portion",51.2,8.0,0.0,1.6,1.2,0.0,29.6,0.07,6.3,0.04,1.74,20.27,49.2,0.28,9.4,7.8,0.51,375,Lunch,Pakistani,Lunch
"Valley Meats Moose Polish Sausage, 12 Ounce",182.4,0.0,0.0,0.0,38.4,0.0,0.0,0.43,4.0,0.02,0.09,5.6,15.9,0.02,37.8,15.8,0.65,191,Dinner,Pakistani,Lunch
"Basmati Rice Cooked, 130 g",62.4,13.2,0.0,0.0,2.0,0.0,0.9,0.33,1.3,0.06,1.06,1.67,30.7,0.38,13.2,3.7,0.18,147,Lunch,Pakistani,Lunch
"Roti, 5 piece",200.0,34.8,0.0,6.4,6.4,0.0,0.0,0.22,3.6,0.02,0.17,3.4,34.1,0.66,100.5,24.1,0.97,347,Lunch,Pakistani,Lunch
"Take Away Salmon Tikka, 1 pieces",15.2,0.0,0.0,0.0,0.0,0.0,67.5,0.17,2.8,0.02,1.75,14.19,3.2,0.53,130.0,2.4,0.36,10,Dinner,Pakistani,Lunch
"Mission Naan Bread Plain (Aus), 70 g (1 piece)",78.8,12.8,0.0,2.0,2.4,0.0,0.0,0.17,1.2,0.07,0.18,9.18,45.8,0.05,95.3,19.2,0.17,10,Breakfast,Pakistani,Breakfast
Karahi Gosht,139.6,5.6,0.0,10.4,6.8,0.0,0.0,0.08,1.8,0.04,0.55,10.3,8.4,0.12,3.6,19.0,0.19,248,Dinner,Pakistani,Dinner
Dynamite Chicken,292.0,13.6,0.0,20.4,12.8,0.0,32.7,0.72,7.9,0.03,0.41,4.66,36.2,0.09,132.3,7.8,0.89,118,Dinner,Pakistani,Dinner
"Morrisons Sauce Korma, 20 g",12.8,0.8,0.0,0.8,0.4,0.0,0.0,0.21,7.1,0.06,0.39,8.41,1.4,0.99,73.7,18.6,0.49,285,Dinner,Pakistani,Dinner
"Garlic Naan, 0.75 naan",115.6,19.6,0.0,6.0,3.6,0.0,56.2,0.38,0.6,0.18,0.33,2.45,22.0,1.49,156.4,26.6,0.83,298,Breakfast,Pakistani,Breakfast
"Amy's Kitchen Mattar Paneer, 1 Container",148.0,21.6,0.0,4.4,5.2,0.0,12.1,0.34,5.2,0.07,0.26,8.7,8.5,1.96,43.8,23.6,0.38,370,Dinner,Pakistani,Lunch
"Deli Barfi, 1 per cubic inch",23.6,3.2,0.0,1.2,0.4,0.0,26.6,0.36,0.4,0.15,0.34,1.45,35.9,1.4,156.9,8.9,0.76,119,Dinner,Pakistani,Lunch
Papaya Jam,17.6,4.4,0.0,0.4,0.4,0.0,25.6,0.03,10.3,0.24,0.22,25.73,5.0,0.92,234.6,8.3,0.15,10,Lunch,Pakistani,Lunch
"Butter chicken with rice , 350 g",254.4,22.8,0.0,11.6,12.0,0.0,4.4,0.02,6.7,0.03,0.05,4.5,11.6,0.46,232.2,15.4,0.45,252,Lunch,Pakistani,Lunch
"Sainsbury's King Prawn Masala, 1/4 pack",43.6,3.6,0.0,2.0,2.4,0.0,0.0,0.24,2.6,0.15,0.75,1.18,22.3,0.86,61.8,0.7,0.16,135,Lunch,Pakistani,Lunch
"Tesco Chicken Curry, 50 g",26.4,0.8,0.0,1.6,2.4,0.0,10.1,0.16,4.3,0.05,1.11,0.13,16.6,0.79,5.1,13.8,0.02,98,Dinner,Pakistani,Dinner
"Homemade Healthy Curry Chicken, 4 oz Chicken",66.0,2.4,0.0,0.8,12.4,0.0,11.5,0.04,2.9,0.14,0.51,28.93,2.9,0.8,243.9,23.9,0.38,219,Dinner,Pakistani,Dinner
"Butter Chicken ( Buffet), 1 cup",153.6,3.2,0.0,11.6,9.6,0.0,31.1,0.13,3.0,0.27,0.56,6.98,9.9,0.85,163.5,4.8,0.15,10,Dinner,Pakistani,Dinner
"Pilau Rice, 250.01 g",135.2,16.0,0.0,2.4,2.0,0.0,24.0,0.48,3.1,0.04,0.3,2.13,46.2,0.85,76.4,20.4,0.89,19,Dinner,Pakistani,Lunch
"Chicken Pasanda, 1 serving",267.2,19.2,0.0,18.8,5.2,0.0,18.5,0.4,0.8,0.15,0.01,13.25,9.9,1.05,44.4,24.9,0.88,420,Breakfast,Pakistani,Breakfast
"Gopi 2% Low Fat Yogurt 2% Low Fat Yogurt ( Jigna), 1 cup ( 227g)",72.0,6.4,0.0,2.0,4.4,0.0,0.0,0.4,3.9,0.11,1.04,4.56,26.8,0.86,45.2,10.5,0.6,171,Dinner,Pakistani,Lunch
"Sweet Arisa Sweet Arisalu, 1.5 piece",72.0,8.4,0.0,3.2,0.8,0.0,43.7,0.33,0.8,0.04,0.84,6.45,41.2,0.56,213.0,7.0,0.68,112,Lunch,Pakistani,Lunch
