Food Name,Calories,Carbohydrates (g),Sugars (g),Fat (g),Protein (g),Fiber (g),Vitamin_A_µg,Vitamin_B_complex_mg,Vitamin_C_mg,Vitamin_D_µg,Vitamin_E_mg,Vitamin_K_µg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg,Sodium_mg,Category,Cuisine,Meal_Type
"Asda Snacks Vegetable Pakora, 1 container (2 pakoras ea.) Tandoori Tandoori",101.6,10.2,0.0,5.4,2.1,0.0,67.0,0.25,3.2,0.05,0.42,11.39,3.9,0.15,64.4,6.8,0.56,309,Snack,Pakistani,Snack
"Sheek Kebab, 55 g Punjabi",63.5,0.0,0.0,0.0,0.0,0.0,11.8,0.06,1.0,0.07,0.44,2.8,2.0,0.63,202.2,9.9,0.43,109,Snack,Pakistani,Snack
"Deep Gourmet Potato & Pea Cocktail Samosa, 7.5 pieces (3g) Light Home-cooked",39.1,4.8,0.0,0.0,1.0,0.0,0.0,0.1,2.2,0.03,0.86,3.0,29.1,0.4,196.1,4.9,0.07,222,Snack,Pakistani,Snack
"Neha's Inspired Frozen Yoghurt Mango & Honey Lassi, 100 g Low-fat",89.7,10.3,0.0,3.1,1.1,0.0,56.1,0.07,0.3,0.15,0.51,0.56,16.6,1.53,320.8,0.6,0.96,149,Snack,Pakistani,Snack
"Sainsbury's Vegetable Samosas, 0.5 Samosa (50g) Punjabi",21.5,5.0,0.0,1.3,0.3,0.0,54.3,0.65,1.2,0.03,0.14,11.36,25.1,1.34,79.5,15.5,0.95,320,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 2 piece Punjabi",64.9,3.4,0.0,3.0,10.1,0.0,6.3,0.49,2.5,0.13,0.19,7.37,31.8,0.31,10.0,9.5,0.61,289,Snack,Pakistani,Snack
Beef Seekh Kebab () Masaledar,225.8,4.3,0.0,13.0,8.7,0.0,18.5,0.35,8.3,0.05,0.79,7.02,1.4,0.41,169.3,6.3,0.75,243,Snack,Pakistani,Snack
"Vegtable Samosa, 1 portion Home-cooked",58.6,6.3,0.0,4.1,0.9,0.0,6.0,0.26,8.8,0.01,0.14,14.35,0.8,0.77,72.7,1.4,0.48,387,Snack,Pakistani,Snack
"Quorn 8 Samosas, 4 samosa Smoky",85.8,8.7,0.0,3.1,2.5,0.0,7.6,0.3,7.9,0.23,0.53,10.84,17.1,1.9,221.4,9.1,0.67,307,Snack,Pakistani,Snack
"Punjabi Curry With Pakora Food, 1 cup Crispy",181.6,20.2,0.0,6.2,6.1,0.0,0.0,0.4,6.5,0.08,0.21,11.56,27.7,0.09,148.9,7.3,0.76,76,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora Punjabi Slow-cooked",90.5,9.2,0.0,6.7,2.4,0.0,15.1,0.27,4.4,0.07,0.11,0.51,54.9,0.54,270.9,12.8,0.33,363,Snack,Pakistani,Snack
"Sheek Kebab, 55 g Buttery",42.4,0.0,0.0,0.0,0.0,0.0,32.9,0.53,9.7,0.09,0.71,19.46,15.7,0.56,186.3,20.4,0.34,41,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 3 samosa Tandoori",209.3,16.1,0.0,12.2,2.6,0.0,67.2,0.16,1.1,0.1,0.19,10.25,29.6,1.59,90.3,16.6,0.21,45,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 0.2 piece Dry",10.0,0.4,0.0,0.4,1.0,0.0,0.0,0.25,17.0,0.05,0.04,25.55,2.9,0.96,270.1,12.4,0.28,147,Snack,Global,Snack
"Sheek Kebab, 55 g Home-cooked",46.1,0.0,0.0,0.0,0.0,0.0,37.9,0.22,2.0,0.09,0.61,1.26,9.1,1.41,105.7,24.9,0.1,102,Snack,Pakistani,Snack
"Curd Dahi, 0.2 small bowl 50gm Grilled",10.0,0.4,0.0,0.4,0.4,0.0,27.0,0.09,0.6,0.11,0.34,1.66,57.2,2.04,155.2,10.6,0.2,356,Snack,Pakistani,Snack
"Dahi Ki Kadhi (Yoghurt Curry), 0.4 cup Herbed",24.1,2.3,0.0,0.9,0.9,0.0,5.4,0.4,3.5,0.08,0.38,6.18,27.1,1.11,67.2,17.2,0.74,324,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora Punjabi Slow-cooked Spicy",98.7,10.0,0.0,7.3,3.0,0.0,99.3,0.08,1.7,0.18,0.26,5.17,19.2,0.04,190.0,5.7,0.54,262,Snack,Pakistani,Snack
"Moong Daal Dahi Vada, 2 pieces Home-cooked",67.2,5.3,0.0,3.9,1.8,0.0,0.0,0.13,3.3,0.12,0.12,1.15,29.5,0.75,172.9,10.1,0.1,10,Snack,Pakistani,Snack
"Iceland Platter Vegetable Pakora, 2 vegetable pakora - Low-fat Low-fat",21.0,2.0,0.0,1.4,0.5,0.0,73.4,0.11,0.2,0.15,1.0,6.67,49.5,0.48,211.9,9.7,1.03,150,Snack,Pakistani,Snack
"Chicken Pakora (Reverse Engineered), 235 g Low-fat",127.5,7.4,0.0,4.0,16.5,0.0,0.0,0.03,7.7,0.15,0.51,2.24,19.0,1.85,109.5,17.0,0.42,203,Snack,Pakistani,Snack
Seviyan (sweet vermicelli) Masaledar,117.8,29.0,0.0,19.5,6.4,0.0,15.8,0.16,1.9,0.07,0.51,16.54,63.1,0.33,50.8,9.7,0.62,353,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 0.5 samosa Smoky",30.8,2.4,0.0,1.9,0.4,0.0,47.3,0.39,6.3,0.04,0.22,5.33,71.2,0.86,96.3,16.3,0.64,307,Snack,Pakistani,Snack
"Samosa (Potato-filled), 0.5 piece Tandoori",71.7,7.5,0.0,3.9,1.0,0.0,46.2,0.38,5.9,0.28,0.74,6.99,21.1,0.39,345.2,22.0,1.21,106,Snack,Pakistani,Snack
Dry Fruits Mix Masaledar Buttery,122.2,44.4,0.0,8.0,2.2,0.0,0.0,0.2,11.9,0.13,1.31,1.53,4.0,0.28,90.6,11.2,0.32,514,Snack,Pakistani,Snack
"Homemade Black Chana Masala, 2 serving Spicy",81.3,12.9,0.0,3.1,3.0,0.0,0.0,0.37,4.8,0.14,0.87,12.57,10.2,0.18,129.7,41.8,0.71,236,Snack,Pakistani,Snack
"night (chx tikka, rice, pakora), 1.5 serving(s) Punjabi",423.2,70.0,0.0,5.6,17.7,0.0,0.0,0.18,0.4,0.09,0.09,12.43,15.9,0.31,196.3,23.9,0.21,457,Snack,Pakistani,Snack
Dried Dates Pudding Recipe Grilled Home-cooked Smoky,125.6,13.6,0.0,5.9,2.4,0.0,0.0,0.04,4.1,0.25,0.31,0.51,3.7,0.59,34.5,24.0,0.41,357,Snack,Global,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora Punjabi Slow-cooked Smoky",82.4,8.4,0.0,4.7,2.8,0.0,22.0,0.17,6.0,0.15,0.39,4.83,19.7,0.76,190.7,9.8,0.13,169,Snack,Pakistani,Snack
"Curd Dahi, 0.5 small bowl 100gm Light",15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.8,0.05,0.1,0.48,29.4,0.1,159.6,10.5,0.49,108,Snack,Pakistani,Snack
"Aloo Chana Chaat, 1 portion Smoky",73.7,14.7,0.0,0.7,3.1,0.0,27.8,0.36,6.6,0.23,0.53,0.83,1.8,0.49,238.7,0.9,0.07,187,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora Punjabi Slow-cooked Spicy Slow-cooked",88.8,9.0,0.0,6.7,3.9,0.0,0.0,0.02,6.7,0.22,0.31,1.56,27.4,1.48,138.3,3.6,0.72,10,Snack,Pakistani,Snack
"Iceland Platter Vegetable Pakora, 2 vegetable pakora - Low-fat Light",19.1,1.8,0.0,1.4,0.5,0.0,39.3,0.01,6.7,0.08,0.35,7.43,48.7,0.12,39.4,7.1,0.06,236,Snack,Pakistani,Snack
Date Roll - Light,22.1,3.5,0.0,1.0,0.4,0.0,57.0,0.12,8.7,0.05,0.35,5.63,19.7,2.38,95.9,1.1,0.54,194,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 2 piece Low-fat",81.1,4.3,0.0,3.8,8.7,0.0,63.8,0.13,1.4,0.14,0.26,5.42,10.8,0.52,315.0,21.9,0.81,299,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora - Masaledar",100.4,10.2,0.0,4.7,2.1,0.0,28.1,0.25,3.4,0.12,0.81,15.09,17.8,0.25,152.7,16.3,1.23,264,Snack,Pakistani,Snack
Pakora Slow-cooked,106.7,12.5,0.0,23.7,4.0,0.0,26.3,0.19,1.5,0.24,0.26,21.84,22.9,1.56,137.6,16.0,0.7,236,Snack,Pakistani,Snack
"Vegetable Samsosas Dish, 2 samosa Tandoori",68.3,9.4,0.0,2.7,1.1,0.0,38.9,0.1,7.2,0.07,0.44,0.41,41.3,0.68,48.4,22.3,0.23,10,Snack,Pakistani,Snack
"Homemade Kala Chana, 1/4 cup Crispy",14.7,2.5,0.0,0.3,0.8,0.0,41.5,0.13,0.8,0.09,1.1,5.16,10.6,0.52,78.7,15.5,0.25,190,Snack,Pakistani,Snack
"Curd Dahi, 0.5 small bowl 100gm Hyderabadi",11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.2,0.06,0.58,13.83,30.0,0.65,64.6,20.5,1.1,195,Snack,Pakistani,Snack
"Paneer Pakora, 0.25 piece Herbed",10.0,0.0,0.0,0.4,0.0,0.0,38.1,0.04,14.7,0.1,0.23,3.84,86.2,0.15,34.7,16.4,0.3,319,Snack,Pakistani,Snack
"Sitar Cuisine Chana Masala (Chick Peas), 1 oz Grilled Herbed Herbed",10.9,1.2,0.0,0.4,0.2,0.0,7.7,0.4,1.9,0.02,0.89,15.06,29.3,0.11,42.4,22.6,0.91,210,Snack,Pakistani,Snack
"Iceland Platter Vegetable Samosas, 1 vegetable samosa Crispy Masaledar",18.1,2.6,0.0,0.7,0.2,0.0,26.7,0.12,0.5,0.04,0.4,26.24,20.2,2.27,91.9,19.7,1.0,10,Snack,Pakistani,Snack
"Samosa (Potato-filled), 1 piece Light",147.4,15.3,0.0,5.8,2.2,0.0,0.0,0.22,2.3,0.19,0.43,15.98,28.5,0.54,195.5,24.2,0.12,355,Snack,Pakistani,Snack
Boiled Egg Dry,54.2,29.3,0.0,0.7,3.7,0.0,0.0,0.27,4.4,0.06,0.76,5.49,30.2,1.19,231.0,26.8,0.8,142,Snack,Pakistani,Snack
Dry Fruits Mix Crispy Light,89.5,32.5,0.0,8.8,4.5,0.0,0.0,0.08,5.1,0.03,0.34,9.83,32.9,0.06,42.9,30.0,0.32,143,Snack,Pakistani,Snack
"Samosa (Potato-filled), 1 piece Dry Home-cooked",142.1,14.8,0.0,7.3,1.5,0.0,0.0,0.16,1.1,0.14,0.72,25.71,3.9,0.05,158.2,20.7,0.05,151,Snack,Pakistani,Snack
"Samosa (Potato-Filled), 1 piece Buttery",85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3.6,0.08,0.4,6.66,5.8,1.55,108.3,7.7,0.35,467,Snack,Pakistani,Snack
Seviyan (sweet vermicelli) Home-cooked,121.7,29.9,0.0,12.4,5.2,0.0,56.3,0.33,1.8,0.17,0.26,12.97,6.7,1.21,211.0,8.8,0.35,10,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 0.2 piece Slow-cooked",10.0,0.4,0.0,0.5,0.6,0.0,36.1,0.64,4.4,0.02,0.93,9.6,29.2,0.18,101.7,15.8,0.28,290,Snack,Global,Snack
"Samosa Vegetable Samosa, 0.5 samosa Light",30.7,2.4,0.0,1.7,0.3,0.0,30.5,0.21,7.7,0.11,0.68,4.52,6.1,0.11,45.4,16.7,0.12,160,Snack,Pakistani,Snack
"Paneer Pakora, 1 piece Slow-cooked",33.3,0.0,0.0,2.1,0.0,0.0,59.5,0.32,6.0,0.04,0.3,15.91,61.4,0.1,68.3,12.4,0.43,75,Snack,Pakistani,Snack
"Gourmet Spinach Pakora, 6 pieces (130g) Low-fat",116.4,10.5,0.0,5.1,4.5,0.0,23.1,0.05,0.5,0.06,0.54,0.71,59.5,0.6,215.3,14.2,1.25,378,Snack,Pakistani,Snack
"Iceland Platter Vegetable Pakora, 4 vegetable pakora Tandoori",49.9,4.8,0.0,2.3,1.5,0.0,15.8,0.61,4.0,0.02,0.15,0.9,24.6,0.22,155.6,21.1,0.91,179,Snack,Pakistani,Snack
"Fitness raw nuts almonds, hazelnut, cashew, 125 g Grilled",313.0,12.5,0.0,24.7,7.9,0.0,0.0,0.1,0.1,0.12,0.86,4.08,39.6,0.21,24.4,29.4,0.44,503,Snack,Pakistani,Snack
Seviyan (sweet vermicelli) Home-cooked Smoky,114.9,28.2,0.0,11.3,6.2,0.0,110.1,0.14,4.3,0.05,0.06,16.69,10.3,1.85,154.8,20.7,0.55,276,Snack,Pakistani,Snack
"Neha's Inspired Frozen Yoghurt Mango & Honey Lassi, 100 g Low-fat - Smoky",96.9,11.1,0.0,2.3,1.2,0.0,0.0,0.21,0.7,0.15,0.23,10.19,17.0,0.79,170.3,9.5,0.37,284,Snack,Pakistani,Snack
"Chana Cury, 0.5 cup cooked Herbed",50.4,6.1,0.0,2.1,1.9,0.0,3.1,0.02,4.3,0.1,0.01,0.07,1.7,0.9,174.3,29.4,0.33,10,Snack,Pakistani,Snack
"Gourmet Spinach Pakora, 6 pieces (130g) Punjabi",112.7,10.1,0.0,8.4,3.0,0.0,0.0,0.02,3.1,0.04,0.59,2.96,29.0,0.21,29.6,7.7,0.25,488,Snack,Pakistani,Snack
"Mango Lassi, 1.5 cup Tandoori",84.2,18.7,0.0,0.7,2.2,0.0,50.1,0.22,3.6,0.08,0.4,15.47,11.0,1.45,89.3,14.8,0.79,10,Snack,Pakistani,Snack
"Samosa Chaat, 106.72 g Light",80.1,13.7,0.0,2.5,3.1,0.0,18.8,0.49,0.3,0.1,0.86,25.41,25.9,1.18,16.7,14.3,0.08,279,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 3 samosa Buttery",185.1,14.2,0.0,11.7,2.9,0.0,79.4,0.02,2.0,0.0,0.06,23.06,26.4,0.85,161.9,15.4,0.33,564,Snack,Pakistani,Snack
"Curd Dahi, 0.2 small bowl 50gm Masaledar",10.0,0.3,0.0,0.5,0.4,0.0,88.2,0.32,2.1,0.0,0.13,2.01,6.7,1.14,68.3,20.0,0.79,211,Snack,Pakistani,Snack
"Paneer Pakora, 1 piece Tandoori",35.5,0.0,0.0,1.8,0.0,0.0,30.9,0.34,10.4,0.02,0.62,2.12,47.2,0.67,218.4,12.9,0.97,72,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 2 samosa Low-fat",220.4,13.2,0.0,4.5,1.5,0.0,38.4,0.48,0.7,0.16,0.25,27.38,45.7,0.95,160.4,3.3,0.01,392,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 1.3 samosa - Dry",72.1,5.7,0.0,6.7,1.4,0.0,8.0,0.52,3.2,0.13,0.54,0.91,9.3,0.56,26.4,19.8,0.71,477,Snack,Pakistani,Snack
"Deep Gourmet Original Potato Pea Samosa, 1 Pieces (53g) Slow-cooked",22.6,2.8,0.0,1.5,0.4,0.0,0.0,0.14,5.2,0.02,1.04,4.98,16.6,1.68,210.7,15.8,0.21,124,Snack,Pakistani,Snack
"That Drink Raspberry Cinnamon Lassi, 1 container (237 ml) Herbed",43.8,7.1,0.0,1.1,2.6,0.0,0.0,0.02,4.0,0.0,0.38,17.63,23.4,1.2,169.6,10.4,0.77,29,Snack,Pakistani,Snack
Roasted Chana Smoky,78.4,22.6,0.0,7.6,10.7,0.0,62.4,0.29,6.1,0.02,0.33,15.64,22.3,1.75,80.6,9.1,0.71,154,Snack,Pakistani,Snack
"Boti Lamb Kebab, 1 serving 50 grams Punjabi",199.8,25.3,0.0,4.5,16.9,0.0,18.5,0.15,2.4,0.08,0.06,0.43,14.5,0.22,2.1,12.9,0.32,82,Snack,Pakistani,Snack
"Quorn Meat Free Samosa, 1 samosa Tandoori",26.2,2.9,0.0,1.1,0.8,0.0,19.7,0.13,2.0,0.13,0.06,11.82,23.2,1.75,194.5,17.2,0.23,20,Snack,Pakistani,Snack
"Homemade Dahi Bhalla / Bhalle, 1 cup (160g) Hyderabadi Low-fat",83.2,9.5,0.0,1.9,2.1,0.0,0.0,0.18,8.0,0.12,0.18,3.17,8.7,0.95,69.3,22.4,0.59,450,Snack,Pakistani,Snack
"Quorn 8 Samosas, 4 samosa Smoky Herbed",87.2,8.8,0.0,3.8,2.7,0.0,0.0,0.61,1.5,0.05,0.39,9.37,48.0,0.22,19.9,10.7,0.11,454,Snack,Pakistani,Snack
"Samosa Chaat, 266.8 g Dry",159.5,26.8,0.0,3.6,7.1,0.0,0.0,0.18,0.4,0.05,0.33,3.06,37.6,0.97,18.2,24.9,0.71,429,Snack,Global,Snack
"Homemade Kala Chana, 1.5 cup Home-cooked",87.2,14.5,0.0,1.6,5.8,0.0,9.3,0.03,1.8,0.17,0.3,10.18,23.6,0.58,15.1,7.8,0.07,123,Snack,Pakistani,Snack
"Homemade Kala Chana, 1/2 cup Grilled",42.7,7.3,0.0,0.4,1.3,0.0,31.7,0.03,8.0,0.13,0.27,15.66,14.5,1.98,137.6,9.0,0.31,196,Snack,Pakistani,Snack
"Samosa (Potato-Filled), 1 piece Home-cooked",68.7,0.0,0.0,0.0,0.0,0.0,48.3,0.35,5.2,0.09,0.27,2.56,35.8,0.37,96.7,14.4,0.08,343,Snack,Pakistani,Snack
"Haldiram's Classic Soan Papdi Premium 500g Pack, 1 pc = 26 g Dry",43.4,4.5,0.0,3.2,0.9,0.0,13.7,0.09,10.0,0.13,0.5,13.5,10.5,1.63,98.8,22.7,0.34,10,Snack,Pakistani,Snack
"Iceland Platter Vegetable Pakora, 4 vegetable pakora Home-cooked Grilled",47.4,4.6,0.0,1.0,1.1,0.0,7.0,0.25,0.3,0.02,0.26,1.96,6.9,0.71,103.9,2.1,0.76,161,Snack,Pakistani,Snack
"Neha's Inspired Frozen Yoghurt Mango & Honey Lassi, 80 g Punjabi Dry",109.0,12.4,0.0,5.6,1.1,0.0,38.9,0.04,2.4,0.02,0.11,0.31,16.9,0.58,119.8,7.0,1.33,254,Snack,Pakistani,Snack
"Chana Masala Chickpea, 409.5 grams Slow-cooked Home-cooked",146.5,26.5,0.0,2.5,4.0,0.0,49.1,0.62,9.4,0.13,0.03,4.86,5.0,0.56,51.6,19.3,0.35,10,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 1.3 samosa - Dry Masaledar",63.3,5.0,0.0,6.6,1.0,0.0,36.6,0.29,0.2,0.04,0.13,6.45,13.7,0.91,155.1,16.8,0.3,347,Snack,Pakistani,Snack
"Paneer Pakora, 3 piece Buttery",104.8,0.0,0.0,4.5,0.0,0.0,28.9,0.12,6.6,0.15,0.76,5.99,39.2,1.16,149.2,4.3,0.31,469,Snack,Pakistani,Snack
Boiled Egg Dry Spicy,47.0,25.4,0.0,0.7,4.6,0.0,0.0,0.28,4.4,0.04,0.89,0.99,4.4,0.7,114.5,23.6,1.05,279,Snack,Pakistani,Snack
"Sheek Kebab, 55 g Buttery Crispy",52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.7,0.03,0.08,3.15,38.3,1.52,194.1,7.6,0.23,477,Snack,Pakistani,Snack
Date Roll - Masaledar,16.1,2.6,0.0,0.8,0.2,0.0,33.3,0.36,1.5,0.04,0.26,20.94,13.9,0.02,91.0,6.6,0.18,10,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 1 Samosa (35 Grams) Hyderabadi",27.5,4.1,0.0,1.0,2.0,0.0,7.0,0.52,9.8,0.14,0.3,6.68,24.3,0.47,87.7,21.0,0.12,443,Snack,Pakistani,Snack
"Deep Gourme Jumbo Punjabi Jumbo Samosa, 1 piece Dry",73.5,8.1,0.0,2.9,1.4,0.0,0.0,0.07,0.5,0.04,0.58,0.95,23.2,0.61,163.2,20.4,0.14,82,Snack,Pakistani,Snack
"Samosa (Potato-filled), 1 piece Dry Home-cooked Slow-cooked",139.8,14.6,0.0,6.3,1.2,0.0,0.0,0.46,2.6,0.21,0.03,9.86,1.2,0.66,280.4,26.4,0.43,408,Snack,Pakistani,Snack
"night (chx tikka, rice, pakora), 1.5 serving(s) Punjabi Grilled",465.5,77.0,0.0,5.4,12.7,0.0,41.0,0.01,2.3,0.22,0.4,6.28,29.4,0.36,166.8,11.8,0.61,36,Snack,Pakistani,Snack
"Homemade Roasted Masala Salmon, 2.25 ounces Spicy",45.5,1.6,0.0,3.6,6.8,0.0,0.0,0.2,8.6,0.06,0.89,10.8,83.9,0.71,196.1,9.5,0.0,147,Snack,Pakistani,Snack
Dry Fruits Mix Masaledar Buttery Herbed,124.1,45.1,0.0,7.3,2.9,0.0,34.3,0.39,6.1,0.01,0.75,13.71,36.7,0.25,124.8,18.2,1.05,64,Snack,Pakistani,Snack
"Boti Lamb Kebab, 1 serving 50 grams Punjabi Tandoori",184.9,23.4,0.0,3.9,17.9,0.0,0.0,0.5,0.3,0.17,1.77,7.23,23.6,0.49,282.5,9.8,0.5,254,Snack,Pakistani,Snack
Roasted Chana Low-fat,78.2,22.5,0.0,9.1,9.1,0.0,0.0,0.15,4.8,0.11,0.82,20.09,2.0,0.71,104.5,3.1,0.63,336,Snack,Pakistani,Snack
"night (chx tikka, rice, pakora), 1.25 serving(s) Buttery Low-fat",266.8,44.1,0.0,5.3,8.9,0.0,0.0,0.23,3.3,0.09,0.42,16.81,5.2,0.01,172.4,10.9,0.85,304,Snack,Pakistani,Snack
Roasted Chana Smoky Punjabi,96.4,27.8,0.0,7.5,7.5,0.0,26.0,0.33,0.7,0.05,0.13,22.31,17.0,0.27,188.9,3.9,0.4,456,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora Punjabi Slow-cooked Spicy Slow-cooked - Spicy",90.7,9.2,0.0,6.0,3.5,0.0,52.3,0.02,1.4,0.24,0.03,2.86,50.1,0.12,98.7,11.4,0.16,327,Snack,Pakistani,Snack
"Homemade Kala Chana, 0.5 cup Hyderabadi",25.0,4.3,0.0,0.5,1.6,0.0,0.0,0.14,4.5,0.01,0.49,11.31,31.6,0.68,127.6,7.1,0.38,66,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 1 Samosa (35 Grams) Light - Tandoori",33.0,4.9,0.0,1.1,2.6,0.0,21.4,0.16,5.3,0.09,0.68,3.51,14.8,0.42,87.4,3.6,0.6,306,Snack,Pakistani,Snack
"Homemade Kala Chana, 1/2 cup Grilled Light",46.4,7.9,0.0,0.3,1.3,0.0,13.9,0.2,1.3,0.16,0.23,0.23,42.0,0.05,59.2,17.9,0.17,319,Snack,Pakistani,Snack
"Food Aloo Samosa Pastry With Potato Filling, 1.2 oz Tandoori",16.9,1.5,0.0,1.7,0.0,0.0,31.7,0.04,11.0,0.04,1.18,6.69,3.9,1.57,65.9,6.4,0.6,67,Snack,Pakistani,Snack
Beef Seekh Kebab () Light,181.6,3.4,0.0,14.7,13.5,0.0,0.0,0.12,9.8,0.11,0.57,2.41,7.1,0.92,244.9,14.7,0.29,25,Snack,Pakistani,Snack
"Food Samosa Meat and Veg, 1 Samosa (35 Grams) Light - Hyderabadi",36.0,5.3,0.0,0.7,2.7,0.0,51.6,0.05,5.1,0.1,0.85,6.42,47.7,1.46,20.0,14.9,0.57,10,Snack,Pakistani,Snack
"Sainsbury's Vegetable Samosas, 1 Samosa (50g) Grilled Dry",32.2,7.3,0.0,2.8,0.4,0.0,37.3,0.26,4.2,0.12,0.44,9.11,53.1,0.17,140.7,26.5,0.5,182,Snack,Pakistani,Snack
"Gourmet Spinach Pakora, 2 pieces (130g) Home-cooked",36.9,3.3,0.0,3.1,1.2,0.0,0.0,0.21,0.4,0.02,0.36,7.66,15.1,1.0,77.5,9.2,0.37,364,Snack,Pakistani,Snack
"Pakoras Vegetable Fritters, 6 fritters Tandoori",90.1,6.4,0.0,7.3,1.7,0.0,21.7,0.01,4.5,0.22,0.95,7.72,14.2,0.43,47.6,9.8,0.76,493,Snack,Pakistani,Snack
"Homemade Kala Chana, 1.5 cup Spicy",88.8,14.8,0.0,1.1,4.6,0.0,49.3,0.46,2.2,0.03,0.46,5.15,37.9,1.9,147.6,10.0,0.03,203,Snack,Pakistani,Snack
"Samosa (Potato-Filled), 1 piece Tandoori Smoky",75.7,0.0,0.0,0.0,0.0,0.0,9.7,0.26,1.5,0.02,0.52,0.19,12.6,0.69,210.9,23.0,0.86,210,Snack,Pakistani,Snack
"Curd Dahi, 0.2 small bowl 50gm Grilled Masaledar",10.0,0.4,0.0,0.4,0.4,0.0,47.2,0.12,0.6,0.01,0.77,10.53,29.1,0.9,159.3,5.8,0.2,179,Snack,Pakistani,Snack
"Vegtable Samosa, 1 portion Home-cooked Herbed",55.9,6.0,0.0,4.7,0.7,0.0,0.0,0.18,5.5,0.03,0.52,8.01,54.7,0.68,138.9,10.0,0.32,532,Snack,Pakistani,Snack
"Sainsbury's Vegetable Samosas, 1 Samosa (50g) Buttery",45.8,10.3,0.0,2.6,0.6,0.0,73.3,0.33,1.4,0.03,0.16,2.57,46.7,1.46,180.2,28.2,0.66,150,Snack,Pakistani,Snack
"Quorn 8 Samosas, 4 samosa Smoky Hyderabadi",85.7,8.7,0.0,2.7,2.0,0.0,36.8,0.35,1.8,0.07,0.88,13.7,11.0,0.83,120.8,18.8,0.2,69,Snack,Pakistani,Snack
"Paneer Pakora, 3 piece Smoky",107.8,0.0,0.0,3.4,0.0,0.0,0.0,0.3,3.9,0.01,0.22,7.49,35.5,0.32,141.5,25.9,0.1,216,Snack,Pakistani,Snack
"Mango Lassi, 0.5 cup Light",22.2,4.8,0.0,0.3,0.9,0.0,20.7,0.19,3.1,0.12,0.35,13.78,9.1,1.62,10.7,9.5,0.02,95,Snack,Global,Snack
"Sainsbury's Vegetable Samosas, 0.5 Samosa (50g) Low-fat",26.1,6.1,0.0,1.4,0.3,0.0,58.6,0.26,7.5,0.13,0.41,0.39,1.2,1.52,73.6,6.0,0.81,258,Snack,Pakistani,Snack
"Sheek Kebab, 55 g Punjabi Tandoori",79.6,0.0,0.0,0.0,0.0,0.0,49.6,0.04,5.1,0.13,0.22,12.2,63.2,0.26,53.7,16.3,0.16,324,Snack,Pakistani,Snack
"Asda Snacks Vegetable Pakora, 2 Pakora Punjabi Masaledar",88.3,9.0,0.0,5.0,2.6,0.0,66.3,0.31,5.2,0.14,0.03,0.77,51.4,0.13,64.1,4.0,0.14,10,Snack,Pakistani,Snack
"M&s Modern Crispy Chaat Selection, 3.99 pieces Light",100.9,11.2,0.0,2.8,3.9,0.0,1.7,0.1,4.6,0.05,0.49,3.32,0.1,0.53,32.8,10.5,0.54,10,Snack,Pakistani,Snack
Pakora Smoky,121.2,14.3,0.0,26.5,2.2,0.0,32.9,0.32,5.1,0.23,0.18,3.89,21.3,1.87,130.0,15.3,0.37,40,Snack,Pakistani,Snack
Dates Buttery,80.4,15.6,0.0,20.9,0.9,0.0,13.7,0.01,7.2,0.1,0.39,22.19,9.7,0.47,59.3,0.1,0.94,382,Snack,Pakistani,Snack
"Mango Lassi, 1.5 cup Hyderabadi",90.1,20.0,0.0,0.9,3.0,0.0,0.0,0.17,4.3,0.26,0.11,3.15,13.1,0.24,167.1,6.3,0.09,397,Snack,Pakistani,Snack
"Take Away Chicken Pakora, 1 piece Low-fat",30.7,1.6,0.0,1.1,4.2,0.0,8.6,0.13,1.0,0.18,0.14,12.69,19.4,1.12,268.7,2.7,0.76,205,Snack,Pakistani,Snack
